Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Gulab Jamun","Gulab Jamun",,142,,,,,Desserts,,95,veg,services,5,F,,,0,,,1,0,Yes
Rasmalai,Rasmalai,,143,,,,,Desserts,,109,veg,services,5,F,,,0,,,1,0,Yes
"Shahi Thandi Kheer","Shahi Thandi Kheer",,144,,,,,Desserts,,109,veg,services,5,F,,,0,,,1,0,Yes
"Brownie With Ice Cream","Brownie With Ice Cream",,145,,,,,Desserts,,119,veg,services,5,F,,,0,,,1,0,Yes
"Gajar Halwa","Gajar Halwa",,146,,,,,Desserts,,119,veg,services,5,F,,,0,,,1,0,Yes
"Tandoori Roti","Tandoori Roti",,147,,,,,Breads,,30,veg,services,5,F,,,0,,,1,0,Yes
"Tandoori Roti Butter","Tandoori Roti Butter",,148,,,,,Breads,,35,veg,services,5,F,,,0,,,1,0,Yes
"Hari Mirch Ki Roti","Hari Mirch Ki Roti",,149,,,,,Breads,,35,veg,services,5,F,,,0,,,1,0,Yes
"Lal Mirch Ki Roti","Lal Mirch Ki Roti",,150,,,,,Breads,,35,veg,services,5,F,,,0,,,1,0,Yes
"Missi Roti","Missi Roti",,151,,,,,Breads,,35,veg,services,5,F,,,0,,,1,0,Yes
Naan,Naan,,152,,,,,Breads,,40,veg,services,5,F,,,0,,,1,0,Yes
"Butter Naan","Butter Naan",,153,,,,,Breads,,50,veg,services,5,F,,,0,,,1,0,Yes
"Garlic Naan","Garlic Naan",,154,,,,,Breads,,60,veg,services,5,F,,,0,,,1,0,Yes
"Laccha Paratha","Laccha Paratha",,155,,,,,Breads,,60,veg,services,5,F,,,0,,,1,0,Yes
"Ajwaini Paratha","Ajwaini Paratha",,156,,,,,Breads,,55,veg,services,5,F,,,0,,,1,0,Yes
"Pudina Paratha","Pudina Paratha",,157,,,,,Breads,,55,veg,services,5,F,,,0,,,1,0,Yes
"Aloo Paratha","Aloo Paratha",,158,,,,,Breads,,89,veg,services,5,F,,,0,,,1,0,Yes
"Aloo-Pyaaz Paratha","Aloo-Pyaaz Paratha",,159,,,,,Breads,,110,veg,services,5,F,,,0,,,1,0,Yes
"Gobhi Paratha","Gobhi Paratha",,160,,,,,Breads,,110,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Paratha","Paneer Paratha",,161,,,,,Breads,,110,veg,services,5,F,,,0,,,1,0,Yes
"Stuffed Kulcha","Stuffed Kulcha",,162,,,,,Breads,,110,veg,services,5,F,,,0,,,1,0,Yes
"Kashmiri Naan","Kashmiri Naan",,163,,,,,Breads,,80,veg,services,5,F,,,0,,,1,0,Yes
"Bread Basket","Bread Basket",,164,,,,,Breads,,210,veg,services,5,F,,,0,,,1,0,Yes
"Dal Fry","Dal Fry",,165,,,,,Dal,,249,veg,services,5,F,,,0,,,1,0,Yes
"Dal Tadka","Dal Tadka",,166,,,,,Dal,,249,veg,services,5,F,,,0,,,1,0,Yes
"Dal Pachrangi","Dal Pachrangi",,167,,,,,Dal,,279,veg,services,5,F,,,0,,,1,0,Yes
"Dal Makhani","Dal Makhani",,168,,,,,Dal,,289,veg,services,5,F,,,0,,,1,0,Yes
"Dal Muglai","Dal Muglai",,169,,,,,Dal,,289,veg,services,5,F,,,0,,,1,0,Yes
"Punjabi Dal Tadka","Punjabi Dal Tadka",,170,,,,,Dal,,289,veg,services,5,F,,,0,,,1,0,Yes
"Plain Rice","Plain Rice",,171,,,,,"Khushbu & Basmati",,139,veg,services,5,F,,,0,,,1,0,Yes
