Type,Name,Category,Price,FoodType,GST,Station,Description,Parent,ShortName,SKU,Default,SelectionType,Min,Max,Required,Group,Item
ITEM,Double Cheese Paneer Burger,Burger & Sandwich,169,veg,5,Kitchen,,,DCP Burger,BUR004,,,,,,,
ITEM,Classic Chicken Burger,Burger & Sandwich,159,nonveg,5,Kitchen,,,Chk Burger,BUR005,,,,,,,
ITEM,Chicken Tikka Burger,Burger & Sandwich,179,nonveg,5,Kitchen,,,CT Burger,BUR006,,,,,,,
ITEM,Peri Peri Chicken Burger,Burger & Sandwich,189,nonveg,5,Kitchen,,,PP Burger,BUR007,,,,,,,
ITEM,Veg Club Sandwich,Burger & Sandwich,159,veg,5,Kitchen,,,Veg Club,SAN001,,,,,,,
ITEM,Chicken Club Sandwich,Burger & Sandwich,229,nonveg,5,Kitchen,,,Chk Club,SAN002,,,,,,,
ITEM,Gourmet Chicken Sandwich,Burger & Sandwich,239,nonveg,5,Kitchen,,,Gourmet SW,SAN003,,,,,,,

ITEM,Paneer Tikka,Tandoor Veg Starter,319,veg,5,Tandoor,,,Pan Tikka,TDV001,,,,,,,
ITEM,Paneer Pahadi Tikka,Tandoor Veg Starter,319,veg,5,Tandoor,,,Pan Pahadi,TDV002,,,,,,,
ITEM,Paneer Garlic Tikka,Tandoor Veg Starter,329,veg,5,Tandoor,,,Pan Grl Tk,TDV003,,,,,,,
ITEM,Paneer Parda,Tandoor Veg Starter,349,veg,5,Tandoor,,,Pan Parda,TDV004,,,,,,,
ITEM,Paneer Malai Tikka,Tandoor Veg Starter,329,veg,5,Tandoor,,,Pan Malai,TDV005,,,,,,,
ITEM,Mushroom Stuff Tikka,Tandoor Veg Starter,329,veg,5,Tandoor,,,Mush Stuff,TDV006,,,,,,,
ITEM,Mushroom Tikka,Tandoor Veg Starter,319,veg,5,Tandoor,,,Mush Tikka,TDV007,,,,,,,
ITEM,Hara Bhara Kebab,Tandoor Veg Starter,279,veg,5,Tandoor,,,Hara Bhara,TDV008,,,,,,,
ITEM,Corn Kebab,Tandoor Veg Starter,279,veg,5,Tandoor,,,Corn Kebab,TDV009,,,,,,,
ITEM,Cheez Chaska Kebab,Tandoor Veg Starter,279,veg,5,Tandoor,,,Cheez Chsk,TDV010,,,,,,,
ITEM,Veg 2 In 1,Tandoor Veg Starter,279,veg,5,Tandoor,,,Veg 2in1,TDV011,,,,,,,
ITEM,Veg Sheek Kebab,Tandoor Veg Starter,269,veg,5,Tandoor,,,Veg Sheek,TDV012,,,,,,,
ITEM,Aloo Nazakat Tikka,Tandoor Veg Starter,319,veg,5,Tandoor,,,Aloo Naz,TDV013,,,,,,,
ITEM,Aloo Cheez Corn Tikki,Tandoor Veg Starter,319,veg,5,Tandoor,,,Aloo Cheez,TDV014,,,,,,,
ITEM,Chana Tikki,Tandoor Veg Starter,269,veg,5,Tandoor,,,Chana Tikki,TDV015,,,,,,,
ITEM,Dahi Ke Shole,Tandoor Veg Starter,319,veg,5,Tandoor,,,Dahi Shole,TDV016,,,,,,,
ITEM,Veg Kebab Platter,Tandoor Veg Starter,499,veg,5,Tandoor,,,Veg Plattr,TDV017,,,,,,,

ITEM,Tandoori Chicken,Tandoor Non-Veg Starter,0,nonveg,5,Tandoor,Half or Full,,Tand Chk,TDN001,,,,,,,
VARIANT,Half,,,379,,,,,,,TDN001-H,yes,,,,,Tandoori Chicken
VARIANT,Full,,,599,,,,,,,TDN001-F,no,,,,,Tandoori Chicken
ITEM,Chicken Tikka,Tandoor Non-Veg Starter,379,nonveg,5,Tandoor,,,Chk Tikka,TDN002,,,,,,,
ITEM,Chicken Malai Tikka,Tandoor Non-Veg Starter,379,nonveg,5,Tandoor,,,Malai Tikka,TDN003,,,,,,,
ITEM,Chicken Hariyali Tikka,Tandoor Non-Veg Starter,379,nonveg,5,Tandoor,,,Hariyali,TDN004,,,,,,,
ITEM,Chicken Pahadi Tikka,Tandoor Non-Veg Starter,379,nonveg,5,Tandoor,,,Pahadi Tk,TDN005,,,,,,,
ITEM,Chicken Achari Tikka,Tandoor Non-Veg Starter,379,nonveg,5,Tandoor,,,Achari Tk,TDN006,,,,,,,
ITEM,Afghani Chicken,Tandoor Non-Veg Starter,0,nonveg,5,Tandoor,Half or Full,,Afghani,TDN007,,,,,,,
VARIANT,Half,,,389,,,,,,,TDN007-H,yes,,,,,Afghani Chicken
