Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Chicken Kali Mirch","Chicken Kali Mirch",,83,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Mancuriyan Dry","Paneer Mancuriyan Dry",,84,,,,,"Chinese Veg Starter",,269,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Mancuriyan Gravy","Paneer Mancuriyan Gravy",,85,,,,,"Chinese Veg Starter",,269,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Kung Pao Chicken","Kung Pao Chicken",,86,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Noodles","Paneer Noodles",,87,,,,,"Chinese Veg Starter",,259,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken China Town","Chicken China Town",,88,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chilly Garlic Noodles","Chilly Garlic Noodles",,89,,,,,"Chinese Veg Starter",,259,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Hunan Sauce","Chicken Hunan Sauce",,90,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chana Roast","Chana Roast",,91,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Mongolian","Chicken Mongolian",,92,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer China Town","Paneer China Town",,93,,,,,"Chinese Veg Starter",,249,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Panner Mushroom Golden Fry","Panner Mushroom Golden Fry",,94,,,,,"Chinese Veg Starter",,269,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Classic Margiherita Pizza","Classic Margiherita Pizza",,95,,,,,"Pizza & Pasta",,199,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Fresh Farm Veggie Pizzaa","Fresh Farm Veggie Pizzaa",,96,,,,,"Pizza & Pasta",,219,egg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer & Corn Capsicum Pizzaa","Paneer & Corn Capsicum Pizzaa",,97,,,,,"Pizza & Pasta",,239,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Peri Peri Paneer Tikka Pizzaa","Peri Peri Paneer Tikka Pizzaa",,98,,,,,"Pizza & Pasta",,249,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Feast Onion Mozzarellaa","Chicken Feast Onion Mozzarellaa",,99,,,,,"Pizza & Pasta",,269,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Peri Peri Chicken Tikka Pizza","Peri Peri Chicken Tikka Pizza",,100,,,,,"Pizza & Pasta",,279,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Pepperoni Chicken Pizzaa","Pepperoni Chicken Pizzaa",,101,,,,,"Pizza & Pasta",,299,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Cheese Pasta","Cheese Pasta",,102,,,,,"Pizza & Pasta",,249,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Penne Alfredo (wsp)","Penne Alfredo (wsp)",,103,,,,,"Pizza & Pasta",,299,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Cheese Pasta","Chicken Cheese Pasta",,104,,,,,"Pizza & Pasta",,329,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Tikka","Paneer Tikka",,105,,,,,"Tandoor Veg Starter",,319,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Tandoori Chicken","Tandoori Chicken",,106,,,,,"Tandoor Veg Starter",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Half,379,,0,Full,599,,0
"Paneer Pahadi Tikka","Paneer Pahadi Tikka",,107,,,,,"Tandoor Veg Starter",,319,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
